                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.38647,                0.44853,                0.30005,                0.86858,                0.99219,                      1,                  0.995,                 0.9319,                0.99219,                      1,                  0.995,                0.92716,                0.37903,                0.53929,                0.29717,                0.82751,             0.00056145,             0.00056145,             0.00056145
                     46,                 0.3778,                0.40214,                0.29839,                0.86901,                0.99182,                0.99265,                  0.995,                0.93264,                0.99182,                0.99265,                  0.995,                0.92544,                0.38953,                0.51165,                0.29747,                 0.8261,              0.0005466,              0.0005466,              0.0005466
                     47,                0.40733,                0.46513,                0.31357,                0.86879,                0.99213,                      1,                0.99493,                0.92518,                0.99213,                      1,                0.99493,                0.91625,                0.41342,                 0.4856,                0.30338,                0.83058,             0.00053175,             0.00053175,             0.00053175
                     48,                0.38741,                 0.4667,                0.29519,                 0.8766,                0.99184,                      1,                0.99493,                0.92304,                0.99184,                      1,                0.99493,                0.91085,                0.39001,                0.52523,                0.31075,                0.83022,              0.0005169,              0.0005169,              0.0005169
                     49,                0.37892,                0.43686,                0.30284,                0.87138,                0.99769,                      1,                  0.995,                0.92999,                0.99769,                      1,                  0.995,                0.92597,                0.36962,                0.51197,                 0.2968,                0.82986,             0.00050205,             0.00050205,             0.00050205
                     50,                0.36794,                0.41259,                0.29413,                0.85698,                0.99502,                      1,                  0.995,                0.94127,                0.99502,                      1,                  0.995,                0.93522,                0.35922,                0.49163,                0.29623,                0.82988,              0.0004872,              0.0004872,              0.0004872
                     51,                0.38474,                0.44621,                0.29721,                0.85804,                0.98488,                      1,                0.99486,                 0.9345,                0.98488,                      1,                0.99486,                0.93352,                0.35203,                0.46173,                0.29697,                 0.8216,             0.00047235,             0.00047235,             0.00047235
                     52,                0.36127,                0.38045,                0.28364,                0.85892,                  0.992,                      1,                0.99493,                0.93484,                  0.992,                      1,                0.99493,                0.94388,                0.36716,                0.41768,                0.30228,                0.81964,              0.0004575,              0.0004575,              0.0004575
                     53,                0.36178,                0.41135,                0.28484,                  0.859,                      1,                0.99191,                  0.995,                 0.9341,                      1,                0.99191,                  0.995,                0.94016,                0.36399,                0.41077,                0.29924,                0.81938,             0.00044265,             0.00044265,             0.00044265
                     54,                0.36082,                0.43427,                 0.2875,                0.86502,                0.99829,                0.99265,                  0.995,                0.93796,                0.99829,                0.99265,                  0.995,                0.93008,                 0.3564,                0.40788,                0.28361,                0.81766,              0.0004278,              0.0004278,              0.0004278
                     55,                0.36852,                0.45632,                0.29766,                0.87772,                0.99816,                0.99265,                  0.995,                0.93349,                0.99816,                0.99265,                  0.995,                0.92143,                0.35358,                0.40939,                0.28207,                0.81814,             0.00041295,             0.00041295,             0.00041295
                     56,                0.35788,                0.42325,                0.28117,                0.86597,                      1,                0.99965,                  0.995,                0.94382,                      1,                0.99965,                  0.995,                0.93216,                0.33253,                0.40595,                0.27303,                0.81451,              0.0003981,              0.0003981,              0.0003981
                     57,                0.34252,                0.41112,                0.26642,                 0.8643,                0.99955,                      1,                  0.995,                0.94979,                0.99955,                      1,                  0.995,                0.93962,                0.32622,                0.40386,                 0.2718,                0.81516,             0.00038325,             0.00038325,             0.00038325
                     58,                0.36041,                0.44718,                0.27624,                0.86749,                0.99941,                      1,                  0.995,                0.94918,                0.99941,                      1,                  0.995,                0.94521,                0.32591,                0.40284,                0.27321,                0.81734,              0.0003684,              0.0003684,              0.0003684
                     59,                0.34783,                0.43686,                0.27711,                0.86771,                0.99949,                      1,                  0.995,                0.94685,                0.99949,                      1,                  0.995,                0.94428,                0.33016,                0.40107,                0.26817,                0.81969,             0.00035355,             0.00035355,             0.00035355
                     60,                0.35093,                0.40448,                0.27207,                0.85096,                0.99954,                      1,                  0.995,                 0.9485,                0.99954,                      1,                  0.995,                0.94755,                0.32988,                 0.3977,                0.26203,                0.81409,              0.0003387,              0.0003387,              0.0003387
